"","Signature_1","Signature_100","Signature_13","Signature_17b","Signature_18","Signature_2","Signature_3","Signature_34","Signature_35","Signature_41","Signature_5","Signature_8","Signature_85","df.extra"
"TCGA.13.0921",182.328240947217,62.3013937177773,NA,NA,1080.81975578368,30.374327277441,1090.89042644739,NA,NA,NA,2227.37919915205,365.333029052135,346.919879404788,1090.89042644739
"TCGA.13.0805",NA,47.2991477210221,47.7753967202749,NA,393.537997710274,44.8640354620089,429.554047384058,NA,NA,NA,2850.15627739835,558.552832121935,658.941423640143,429.554047384058
"TCGA.24.1467",NA,122.00934931171,NA,25.5552354123337,NA,85.1334699643332,1572.46558065419,NA,NA,173.321366372758,2391.02537220636,479.101221154235,819.448426923922,1572.46558065419
"TCGA.04.1367",NA,142.078221816376,NA,NA,376.917747666607,107.627695254463,1326.99549783506,NA,NA,290.637157576525,1078.66704143055,658.890030188339,797.689920816661,1326.99549783506
"TCGA.24.1549",NA,68.5919080777206,22.8249727916663,NA,NA,111.413102480675,1620.33663074986,NA,NA,799.10830700871,2512.04095662086,1015.95732913731,1325.25367792964,1620.33663074986
"TCGA.25.2401",95.4710441139331,NA,930.475613785556,NA,240.552186484649,904.498604634174,415.497642370387,NA,NA,NA,2915.46846354687,656.966615459306,538.730403863775,415.497642370387
"TCGA.29.1778",65.8546829330624,NA,78.3380486454284,NA,251.495421172159,73.8926980168356,1167.27860439138,NA,NA,NA,3899.32939343025,654.829302219972,1154.91283843309,1167.27860439138
"TCGA.20.0991",263.604324558839,425.965579893834,NA,107.668691247485,322.793571732457,118.065908315187,3905.80353940828,NA,NA,NA,2786.83461085264,NA,1173.66643746823,3905.80353940828
"TCGA.09.2050",171.002926809694,NA,23.8361683172999,NA,393.41631088552,81.9879144381773,217.680224702668,NA,NA,NA,2783.72246227753,509.503559300069,131.907074701779,217.680224702668
"TCGA.24.1464",77.6966707607384,140.814023915821,NA,NA,163.600444526511,90.3129092806707,1731.30383599181,NA,NA,NA,2643.44504307724,394.811547451241,886.769888126258,1731.30383599181
"TCGA.25.2397",156.011380241233,76.7765355555968,12.4474687485549,NA,703.414694655077,NA,854.289897601798,NA,NA,NA,2261.08745811062,465.01587926329,352.012580959372,854.289897601798
"TCGA.24.2281",526.236756011154,443.165791476584,NA,131.402824946988,325.059702572591,181.811709234324,4717.69794961526,NA,NA,NA,8602.74229284031,NA,2017.32581054005,4717.69794961526
"TCGA.24.1434",95.7320984524089,32.0739289620389,NA,11.4803055821177,56.5888813038446,2.98090058657874,669.856112278245,NA,NA,NA,963.910959912311,NA,224.494205649687,669.856112278245
"TCGA.57.1994",65.9513712363132,NA,46.4383444334565,NA,124.970232955918,39.8791438933557,1002.39661287605,NA,NA,NA,1027.92751231986,314.3214810073,220.034197749667,1002.39661287605
"TCGA.24.1616",130.464363380428,28.4098200469569,112.289014261113,NA,273.283084804507,NA,326.716282760682,NA,NA,NA,4010.06404981304,761.600735179451,639.859424434744,326.716282760682
"TCGA.23.1113",361.412266372247,495.355541760836,NA,91.4975076112058,422.023929496266,205.247524643874,4606.916314219,NA,NA,NA,4935.96388476959,NA,1720.03133770397,4606.916314219
"TCGA.13.0912",2240.88067376395,NA,NA,NA,925.643953949272,NA,NA,NA,257.989576622136,736.77062255294,4795.61990562123,441.372215222341,NA,0
"TCGA.09.1672",202.027760832324,475.191764642103,NA,99.7606192507616,603.896938682106,179.643870561482,3867.35384995641,NA,NA,NA,2499.39691838352,NA,1284.63628641888,3867.35384995641
"TCGA.09.0364",78.7751911325404,NA,NA,NA,1366.39312941088,NA,479.217486451474,NA,NA,8.43171507991569,2560.01638203046,594.413121585884,175.638087268973,479.217486451474
"TCGA.10.0934",84.4196594769235,NA,845.456811861616,NA,340.98669273574,1071.51862735841,263.937454771659,NA,NA,NA,3903.59122019316,807.467439465313,578.18324111801,263.937454771659
"TCGA.04.1644",152.878778511161,150.808612253393,NA,NA,203.074615704691,43.0787203078843,995.833314328809,NA,NA,NA,1336.38736112086,493.91177525221,236.791855203978,995.833314328809
"TCGA.29.1690",129.455411104204,120.765341225032,NA,25.2559886732731,196.955288335203,NA,1653.11264331167,NA,NA,NA,1724.55123961889,117.593279781446,697.760963488593,1653.11264331167
"TCGA.13.0888",NA,NA,60.3024166536097,NA,1037.09671219931,152.848515344167,2413.73482314996,NA,NA,271.315858261404,3286.00318299668,650.016552786229,1626.06295345343,2413.73482314996
"TCGA.29.1768",259.345270276007,NA,308.333760740807,NA,145.460068798782,128.196916077551,535.320349496301,NA,NA,NA,6170.7834841933,917.845665793635,1151.87206378053,535.320349496301
"TCGA.13.0804",NA,85.0694769836874,NA,1981.89855998043,41529.9305521403,1994.91984473909,NA,NA,NA,17207.9185865772,NA,NA,4383.43141792176,0
"TCGA.13.0920",77.5559473864174,87.5345427052726,169.216463927913,NA,NA,51.8466676487445,472.762101886853,NA,NA,NA,4046.96620724327,1049.7553767159,785.818704985746,472.762101886853
"TCGA.23.1121",104.411220908661,66.0320560965717,359.429790926812,NA,645.096013019479,249.058060078153,589.147861463138,NA,NA,NA,2502.76167316414,431.867510509708,NA,589.147861463138
"TCGA.20.1684",65.59357963387,NA,NA,NA,97.7716234935195,58.9403397107407,1331.24650803441,320.586831275573,69.7381848080093,NA,1195.00738426047,NA,1141.42180142526,1331.24650803441
"TCGA.13.1512",120.729015863411,NA,131.022692335239,NA,267.368745960945,72.2264480411721,945.257863314094,NA,NA,NA,5422.92503057236,1135.84091788602,1165.46285257181,945.257863314094
"TCGA.24.1849",227.855312701873,125.025919300835,97.1160072295178,NA,NA,21.4139933106077,1569.25808515876,NA,NA,NA,5022.90143367242,255.179005622656,682.841397260482,1569.25808515876
"TCGA.61.2111",115.886744875101,65.2791089078398,NA,NA,289.088635050894,37.4651149078612,685.319973959582,NA,NA,NA,1927.04002893277,598.720952698882,215.988690065377,685.319973959582
"TCGA.25.1329",165.692192877771,NA,110.394506670912,NA,209.575243802954,34.0782196044083,599.378239348034,NA,NA,NA,4772.41664608616,664.401820163277,849.142824697497,599.378239348034
"TCGA.29.2431",462.697818853716,101.885549585313,NA,NA,243.253463551644,41.4676606393545,1761.02299715395,NA,NA,NA,5042.68690631807,131.321841918393,595.087215474774,1761.02299715395
